gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type
Male,Yes,no_enrollment,Graduate,STEM,20.0,Unknown,Unknown
Male,No,no_enrollment,Graduate,STEM,15.0,50-99,Pvt Ltd
Unknown,No,Full time course,Graduate,STEM,5.0,Unknown,Unknown
Unknown,No,Unknown,Graduate,Business Degree,0.0,Unknown,Pvt Ltd
Male,Yes,no_enrollment,Masters,STEM,20.0,50-99,Funded Startup
Unknown,Yes,Part time course,Graduate,STEM,11.0,Unknown,Unknown
Male,Yes,no_enrollment,High School,Unknown,5.0,50-99,Funded Startup
Male,Yes,no_enrollment,Graduate,STEM,13.0,<10,Pvt Ltd
Male,Yes,no_enrollment,Graduate,STEM,7.0,50-99,Pvt Ltd
Unknown,Yes,no_enrollment,Graduate,STEM,17.0,10000+,Pvt Ltd
Unknown,No,Full time course,High School,Unknown,2.0,Unknown,Unknown
Male,Yes,no_enrollment,Graduate,STEM,5.0,5000-9999,Pvt Ltd
Male,Yes,no_enrollment,Graduate,STEM,20.0,1000-4999,Pvt Ltd
Male,No,Unknown,Unknown,Unknown,2.0,Unknown,Unknown
Unknown,No,Full time course,High School,Unknown,5.0,Unknown,Unknown
Male,Yes,no_enrollment,Graduate,STEM,16.0,Oct-49,Pvt Ltd
Unknown,Yes,no_enrollment,Graduate,STEM,1.0,50-99,Pvt Ltd
Unknown,Yes,no_enrollment,Graduate,STEM,2.0,5000-9999,Pvt Ltd
Unknown,Yes,no_enrollment,Graduate,STEM,7.0,10000+,Pvt Ltd
Female,Yes,no_enrollment,Graduate,Arts,4.0,Unknown,Unknown
Male,Yes,no_enrollment,Masters,STEM,11.0,100-500,Pvt Ltd
Male,Yes,no_enrollment,Masters,STEM,11.0,100-500,Pvt Ltd
Unknown,Yes,no_enrollment,Masters,STEM,10.0,Unknown,Unknown
Male,Yes,no_enrollment,Graduate,Humanities,0.0,1000-4999,Pvt Ltd
Unknown,Yes,no_enrollment,Graduate,STEM,5.0,1000-4999,Pvt Ltd
Unknown,No,no_enrollment,High School,Unknown,4.0,Unknown,Unknown
Unknown,Yes,Part time course,Graduate,STEM,14.0,500-999,Pvt Ltd
Male,Yes,no_enrollment,Graduate,Arts,5.0,Unknown,Unknown
Male,Yes,no_enrollment,High School,Unknown,11.0,<10,Pvt Ltd
Male,Yes,no_enrollment,Graduate,STEM,18.0,50-99,Funded Startup
Male,Yes,no_enrollment,Graduate,STEM,20.0,100-500,Pvt Ltd
Male,Yes,Part time course,Graduate,STEM,19.0,5000-9999,Pvt Ltd
Female,No,Full time course,Graduate,STEM,5.0,Unknown,Unknown
Female,Yes,no_enrollment,Graduate,STEM,20.0,100-500,Pvt Ltd
Male,Yes,no_enrollment,Graduate,Business Degree,12.0,5000-9999,Pvt Ltd
